CPT,5100,Advanced Competencies in Financial Accounting (3 units)
CPT,5101,"Advanced Competencies in Audit, Assurance and Governance (3 units)"
CPT,5102,Advanced Competencies in Strategy and Management Accounting (3 units)
CPT,5103,Advanced Competencies in Taxation (3 units)
CPT,5104,Integration of Advanced Competencies in Accountancy (3 units)
CPT,5500,Compétences avancées en comptabilité financière (3 crédits)
CPT,5501,"Compétences avancées en audit, certification et gouvernance (3 crédits)"
CPT,5502,Compétences avancées en stratégie et comptabilité de gestion (3 crédits)
CPT,5503,Compétences avancées en fiscalité (3 crédits)
CPT,5504,Intégration des compétences avancées en comptabilité (3 crédits)
ADM,1100,Introduction to Business (3 units)
ADM,1101,Business and Society (3 units)
ADM,1300,Introduction to Business (3 units)
ADM,1301,Business and Society (3 units)
ADM,1305,Mathematics for Business (3 units)
ADM,1340,Financial Accounting (3 units)
ADM,1370,Applications of Information Technology for Business (3 units)
ADM,1500,Introduction à la gestion (3 crédits)
ADM,1501,Gestion et société (3 crédits)
ADM,1700,Introduction à la gestion (3 crédits)
ADM,1701,Gestion et société (3 crédits)
ADM,1705,Mathématiques pour la gestion (3 crédits)
ADM,1740,Comptabilité financière (3 crédits)
ADM,1770,Applications des technologies de l'information en gestion (3 crédits)
ADM,2302,Business Analytics (3 units)
ADM,2303,Statistics for Management (3 units)
ADM,2304,Applications of Statistical Methods in Business (3 units)
ADM,2313,The Entrepreneurial Society (3 units)
ADM,2320,Marketing (3 units)
ADM,2336,Organizational Behaviour (3 units)
ADM,2337,Human Resource Management (3 units)
ADM,2341,Managerial Accounting (3 units)
ADM,2342,Intermediate Accounting I (3 units)
ADM,2350,Financial Management (3 units)
ADM,2352,Finance Theory (3 units)
ADM,2372,Management Information Systems (3 units)
ADM,2381,Business Communication Skills (3 units)
ADM,2702,Analytique de gestion (3 crédits)
ADM,2703,Les statistiques en gestion (3 crédits)
ADM,2704,Application des méthodes statistiques en gestion (3 crédits)
ADM,2713,La société entrepreneuriale (3 crédits)
ADM,2720,Marketing (3 crédits)
ADM,2736,Comportement organisationnel (3 crédits)
ADM,2737,Gestion des ressources humaines (3 crédits)
ADM,2738,Gestion des ressources humaines en milieu Innu (3 crédits)
ADM,2741,Comptabilité de gestion (3 crédits)
ADM,2742,Comptabilité intermédiaire I (3 crédits)
ADM,2750,Gestion financière (3 crédits)
ADM,2752,Théorie financière (3 crédits)
ADM,2772,Systèmes d'information de gestion (3 crédits)
ADM,2781,Habiletés de communication d'affaires (3 crédits)
ADM,2901,Stage coop / Co-op Work Term (3 crédits / 3 units)
ADM,3301,Operations Management (3 units)
ADM,3302,Supply Chain Management (3 units)
ADM,3305,Business Simulation Analytics (3 units)
ADM,3308,Business Data Mining (3 units)
ADM,3313,New Venture Creation (3 units)
ADM,3315,Social Entrepreneurship (3 units)
ADM,3316,Competitive Intelligence (3 units)
ADM,3317,Varieties of Capitalism: from Medieval Merchants to Modern Multinationals (3 units)
ADM,3318,International Business (3 units)
ADM,3319,Cross-Cultural Management (3 units)
ADM,3321,Consumer Behaviour (3 units)
ADM,3322,Services Marketing (3 units)
ADM,3323,Market Research (3 units)
ADM,3326,Advertising and Sales Promotion Management (3 units)
ADM,3333,Staffing Organizations (3 units)
ADM,3334,Industrial Relations (3 units)
ADM,3337,Compensation Administration (3 units)
ADM,3340,Intermediate Accounting II (3 units)
ADM,3345,Taxation I (3 units)
ADM,3346,Cost Accounting (3 units)
ADM,3349,Auditing Theory (3 units)
ADM,3350,Corporate Finance (3 units)
ADM,3351,Fixed Income Investments (3 units)
ADM,3352,Portfolio Management (3 units)
ADM,3354,Financial Modeling (3 units)
ADM,3355,Fintech (3 units)
ADM,3357,Applied Investment Fund Management Module I (3 units)
ADM,3358,Multinational Business Finance (3 units)
ADM,3360,Business Law (3 units)
ADM,3363,Healthcare Informatics for Managers (3 units)
ADM,3378,Emerging Topics in Management Information Systems (3 units)
ADM,3379,"Systems Analysis, Development, and Performance (3 units)"
ADM,3396,Seminar in Administration (3 units)
ADM,3701,Gestion des opérations (3 crédits)
ADM,3702,Gestion de la chaîne d'approvisionnement (3 crédits)
ADM,3705,La simulation pour l'analytique de gestion (3 crédits)
ADM,3708,Forage de données en gestion (3 crédits)
ADM,3713,Création d'une nouvelle entreprise (3 crédits)
ADM,3715,Entrepreneuriat social (3 crédits)
ADM,3716,Veille concurrentielle (3 crédits)
ADM,3717,Variétés de capitalisme: depuis les marchands médiévaux jusqu'aux multinationales modernes (3 crédits)
ADM,3718,Commerce international (3 crédits)
ADM,3719,Gestion comparée (3 crédits)
ADM,3721,Comportement du consommateur (3 crédits)
ADM,3722,Marketing des services (3 crédits)
ADM,3723,Méthodes de recherche en marketing (3 crédits)
ADM,3726,Gestion de la publicité et de la promotion des ventes (3 crédits)
ADM,3733,Dotation des organisations (3 crédits)
ADM,3734,Relations industrielles (3 crédits)
ADM,3737,Administration de la rémunération (3 crédits)
